study,endpoint,population,age,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,bsln,bsln_adjusted,category_bsln,N_HIIE,Mean_HIIE,SD_HIIE,N_MICT,Mean_MICT,SD_MICT,HIIE,desired_effect
Ciolac 2010,Triglycerides,Healthy,25.5,< 30 y,16,> 10 weeks,0,< 0.5,Running,0.802824858757062,0.802824858757062,< 1.7 mmol/L,11,-0.700000000000003,15.0175230980345,11,2,14.2353433397302,HIIT,decrease
Ciolac 2010,VO2max,Healthy,25.5,< 30 y,16,> 10 weeks,0,< 0.5,Running,29.6,11.5912348079612,< 30%,11,4.6,2.4429490375364,11,2.4,3.04630924234556,HIIT,increase
Cocks 2013,BMI,Healthy,21.5,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,23.7,23.7,BMI < 25 kg/m²,8,0.0,1.34461890511773,8,0,2.4265201420965,SIT,decrease
Cocks 2013,Body Mass,Healthy,21.5,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,73.0,23.7,BMI < 25 kg/m²,8,0.0,4.6475800154489,8,0,7.48331477354789,SIT,decrease
Cocks 2013,Diastolic Blood Pressure,Healthy,21.5,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,61.5,61.5,< 80 mmHg,8,-3.0,4.6475800154489,8,-4,4.6475800154489,SIT,decrease
Cocks 2013,Systolic Blood Pressure,Healthy,21.5,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,115.5,115.5,< 120 mmHg,8,-2.0,4.6475800154489,8,-1,7.48331477354789,SIT,decrease
Cocks 2013,VO2max,Healthy,21.5,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,41.8,35.8544653342298,30 - 60%,8,3.2,3.45485166107027,8,6.5,7.46190324247105,SIT,increase
Conraads 2015,BMI,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,28.2,28.2,BMI 25 - 30 kg/m²,85,0.100000000000001,2.19931807613178,89,-0.300000000000001,2.32980685894775,HIIT,decrease
Conraads 2015,Body Mass,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,84.85,28.2,BMI 25 - 30 kg/m²,85,0.5,7.86511284089428,89,-0.5,7.49186225180362,HIIT,decrease
Conraads 2015,C-reactive Protein,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,1.2524635,1.2524635,< 2 mg/L,85,-0.106181,0.894557385515205,89,-0.198741,0.948535474699708,HIIT,decrease
Conraads 2015,Diastolic Blood Pressure,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,76.0,76.0,< 80 mmHg,85,-1.09999999999999,6.05970296301725,89,-3.7,8.20365772079747,HIIT,decrease
Conraads 2015,Fasting Glucose,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,5.345,5.345,< 5.6 mmol/L,85,0.19,0.766446345154049,89,0.18,0.762141719104787,HIIT,decrease
Conraads 2015,Flow-mediated Dilation,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,5.435,5.435,< 6 %,85,1.21,1.60643705136554,89,1.07,1.64943020464644,HIIT,increase
Conraads 2015,HDL,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,1.12,1.12,< 1.3 mmol/L,85,0.0800000000000001,0.145464772367745,89,0.0899999999999999,0.164134091522755,HIIT,increase
Conraads 2015,LDL,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,1.93,1.93,< 3 mmol/L,85,0.0900000000000001,0.285464533699022,89,0.0699999999999998,0.36149688795341,HIIT,decrease
Conraads 2015,Systolic Blood Pressure,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,126.5,126.5,120 - 140 mmHg,85,0.0,7.83243257232387,89,-6,9.15630930014927,HIIT,decrease
Conraads 2015,Total Cholesterol,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,3.605,3.605,< 5.2 mmol/L,85,0.17,0.398145701973536,89,0.16,0.42722359485403,HIIT,decrease
Conraads 2015,Triglycerides,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,1.385,1.385,< 1.7 mmol/L,85,-0.02,0.524785670536077,89,-0.03,0.263609559765954,HIIT,decrease
Conraads 2015,VO2max,Cardiac Rehabilitation,58.5,> 50 y,12,> 10 weeks,0.9,> 0.5,Cycling,22.95,3.04228603214796,< 30%,85,5.1,3.63854366470982,89,4.4,3.5307223057046,HIIT,increase
Currie 2015,BMI,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,28.1,28.1,BMI 25 - 30 kg/m²,9,-0.399999999999999,2.6581948762271,10,-0.300000000000001,2.29128784747792,HIIT,decrease
Currie 2015,Body Mass,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,84.9,28.1,BMI 25 - 30 kg/m²,9,-1.2,8.77200091199266,10,-1.39999999999999,9.34301878409756,HIIT,decrease
Currie 2015,Diastolic Blood Pressure,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,62.5,62.5,< 80 mmHg,9,2.0,4.72228758124704,10,-4,3.68781778291716,HIIT,decrease
Currie 2015,HDL,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,1.04,1.04,< 1.3 mmol/L,9,0.11,0.226053091109146,10,-0.06,0.114236596587959,HIIT,increase
Currie 2015,LDL,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,1.725,1.725,< 3 mmol/L,9,-0.01,0.310805405358401,10,-0.35,0.505014851266772,HIIT,decrease
Currie 2015,Systolic Blood Pressure,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,123.0,123.0,120 - 140 mmHg,9,-3.0,6.6932802122726,10,-6,5.29150262212918,HIIT,decrease
Currie 2015,Total Cholesterol,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,3.16,3.16,< 5.2 mmol/L,9,0.12,0.295330323536206,10,-0.37,0.602079728939615,HIIT,decrease
Currie 2015,Triglycerides,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,0.905,0.905,< 1.7 mmol/L,9,0.0299999999999999,0.129151074327704,10,0.1,0.269221098727421,HIIT,decrease
Currie 2015,VO2max,Cardiac Rehabilitation,64.5,> 50 y,12,> 10 weeks,0.95,> 0.5,Cycling,20.45,2.67611742463095,< 30%,9,5.3,2.9593918294136,10,3.4,4.02690948495245,HIIT,increase
Earnest 2013,Body Fat,Overweight/obese,48.5,30 - 50 y,6,5 - 10 weeks,1,> 0.5,Running,29.005,30.925,BMI > 30 kg/m²,21,-0.829999999999998,2.49155663121054,16,-0.169999999999998,3.2471357193048,HIIT,decrease
Earnest 2013,Body Mass,Overweight/obese,48.5,30 - 50 y,6,5 - 10 weeks,1,> 0.5,Running,96.395,30.925,BMI > 30 kg/m²,21,-2.28999999999999,7.513421926916,16,-1.31999999999999,10.2702809808742,HIIT,decrease
Earnest 2013,VO2max,Overweight/obese,48.5,30 - 50 y,6,5 - 10 weeks,1,> 0.5,Running,28.915,6.59715791479914,< 30%,21,2.94,2.13352946552331,16,3.1,2.37062554937023,HIIT,increase
Eguchi 2012,BMI,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,25.05,25.05,BMI 25 - 30 kg/m²,10,-0.5,1.95524934471284,10,-0.399999999999999,2.10713075057055,HIIT,decrease
Eguchi 2012,Body Fat,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,36.15,25.05,BMI 25 - 30 kg/m²,10,-0.5,3.21340940435544,10,-0.299999999999997,3.12793861832358,HIIT,decrease
Eguchi 2012,Body Mass,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,62.45,25.05,BMI 25 - 30 kg/m²,10,-1.3,5.65915187991982,10,-0.899999999999999,5.5989284689126,HIIT,decrease
Eguchi 2012,Diastolic Blood Pressure,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,78.25,78.25,< 80 mmHg,10,-5.0,6.78078166585534,10,-5,5.9,HIIT,decrease
Eguchi 2012,Fasting Glucose,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,5.439000005439,5.439000005439,< 5.6 mmol/L,10,-0.599999999999994,3.06724632202893,10,0.699999999999989,5.57853027239254,HIIT,decrease
Eguchi 2012,HbA1c,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,34.70225,34.70225,< 40 mmol/mol,10,-0.11,0.195140974682407,10,-0.12,0.16431676725155,HIIT,decrease
Eguchi 2012,HDL,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,1.52849740932642,1.52849740932642,> 1.3 mmol/L,10,-2.9,5.65437883414262,10,-3.6,9.19086503001758,HIIT,increase
Eguchi 2012,LDL,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,3.30958549222798,3.30958549222798,> 3 mmol/L,10,-9.59999999999999,18.8556092449966,10,-4.90000000000001,17.6344832643318,HIIT,decrease
