endpoint,population,category_age,category_duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
Triglycerides,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-0.16,-0.02,decrease
VO2max,Metabolic Syndrome,> 50 y,> 10 weeks,Running,4.35,0.8,increase
BMI,Metabolic Syndrome,> 50 y,< 5 weeks,Cycling,-0.3,-0.1,decrease
Body Mass,Metabolic Syndrome,> 50 y,< 5 weeks,Cycling,-0.7,-1.4,decrease
Fasting Glucose,Metabolic Syndrome,> 50 y,< 5 weeks,Cycling,0.1,-0.3,decrease
Fasting Insulin,Metabolic Syndrome,> 50 y,< 5 weeks,Cycling,-0.6,0.8,decrease
HOMA-IR,Metabolic Syndrome,> 50 y,< 5 weeks,Cycling,0,0.1,decrease
VO2max,Metabolic Syndrome,> 50 y,< 5 weeks,Cycling,1.5,1.5,increase
Body Mass,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,-0.1,-0.8,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,1,0,decrease
Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,-3,-1,decrease
VO2max,Cardiac Rehabilitation,> 50 y,5 - 10 weeks,Running,6,2.7,increase
BMI,Healthy,< 30 y,5 - 10 weeks,Running,-0.2,-0.1,decrease
Body Fat,Healthy,< 30 y,5 - 10 weeks,Running,-0.2,-0.5,decrease
Body Mass,Healthy,< 30 y,5 - 10 weeks,Running,-0.4,-0.6,decrease
Fasting Glucose,Healthy,< 30 y,5 - 10 weeks,Running,-0.2,-0.2,decrease
Fasting Insulin,Healthy,< 30 y,5 - 10 weeks,Running,0.3,-4.1,decrease
HDL,Healthy,< 30 y,5 - 10 weeks,Running,0,-0.1,increase
HOMA-IR,Healthy,< 30 y,5 - 10 weeks,Running,0,-0.1,decrease
LDL,Healthy,< 30 y,5 - 10 weeks,Running,-0.3,0,decrease
Total Cholesterol,Healthy,< 30 y,5 - 10 weeks,Running,-0.3,-0.1,decrease
Triglycerides,Healthy,< 30 y,5 - 10 weeks,Running,-0.07,0.07,decrease
VO2max,Healthy,< 30 y,5 - 10 weeks,Running,2.6,1.8,increase
BMI,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,0,0,decrease
Body Fat,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,-0.8,-0.3,decrease
Body Mass,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,-0.1,0,decrease
C-reactive Protein,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,0.5,0.4,decrease
Fasting Glucose,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,-3,2.4,decrease
Fasting Insulin,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,-2.2,-2.3,decrease
Flow-mediated Dilation,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,3.8,-0.4,increase
HDL,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,1,-0.7,increase
HOMA-IR,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,-0.6,-0.5,decrease
LDL,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,4.9,2.6,decrease
Total Cholesterol,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,5,4.8,decrease
Triglycerides,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,-3.2,23.6,decrease
VO2max,Overweight/obese,30 - 50 y,5 - 10 weeks,Cycling,4.1,3.1,increase
Body Mass,Healthy,< 30 y,5 - 10 weeks,Cycling,0,0,decrease
VO2max,Healthy,< 30 y,5 - 10 weeks,Cycling,6.6,7,increase
BMI,Healthy,< 30 y,5 - 10 weeks,Cycling,0,0,decrease
Body Mass,Healthy,< 30 y,5 - 10 weeks,Cycling,0.1,0,decrease
VO2max,Healthy,< 30 y,5 - 10 weeks,Cycling,3.2,6.5,increase
BMI,T2D,30 - 50 y,< 5 weeks,Cycling,-0.2,-0.2,decrease
Body Fat,T2D,30 - 50 y,< 5 weeks,Cycling,-1,-0.9,decrease
Body Mass,T2D,30 - 50 y,< 5 weeks,Cycling,-0.5,-0.4,decrease
Fasting Glucose,T2D,30 - 50 y,< 5 weeks,Cycling,-0.1,0.2,decrease
Fasting Insulin,T2D,30 - 50 y,< 5 weeks,Cycling,0.1,0.3,decrease
HbA1c,T2D,30 - 50 y,< 5 weeks,Cycling,-1.8,-2,decrease
VO2max,T2D,30 - 50 y,< 5 weeks,Cycling,1.3,-0.1,increase
BMI,Overweight/obese,30 - 50 y,< 5 weeks,Cycling,0,0,decrease
Body Fat,Overweight/obese,30 - 50 y,< 5 weeks,Cycling,-1.1,0.1,decrease
Diastolic Blood Pressure,Overweight/obese,30 - 50 y,< 5 weeks,Cycling,-3,-1,decrease
Fasting Glucose,Overweight/obese,30 - 50 y,< 5 weeks,Cycling,0.16,-0.34,decrease
Fasting Insulin,Overweight/obese,30 - 50 y,< 5 weeks,Cycling,0.24,0.21,decrease
HOMA-IR,Overweight/obese,30 - 50 y,< 5 weeks,Cycling,0.15,-0.12,decrease
Systolic Blood Pressure,Overweight/obese,30 - 50 y,< 5 weeks,Cycling,-1,0,decrease
VO2max,Overweight/obese,30 - 50 y,< 5 weeks,Cycling,-0.4,0,increase
BMI,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-0.7,-1.2,decrease
Body Mass,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-2.3,-3.6,decrease
Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-6,-6,decrease
Fasting Glucose,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-0.3,0.4,decrease
Fasting Insulin,Metabolic Syndrome,> 50 y,> 10 weeks,Running,2,1.3,decrease
Flow-mediated Dilation,Metabolic Syndrome,> 50 y,> 10 weeks,Running,10.32,5.81,increase
HDL,Metabolic Syndrome,> 50 y,> 10 weeks,Running,0.15,0.06,increase
Systolic Blood Pressure,Metabolic Syndrome,> 50 y,> 10 weeks,Running,-9,-10,decrease
Triglycerides,Metabolic Syndrome,> 50 y,> 10 weeks,Running,0.05,0.2,decrease
VO2max,Metabolic Syndrome,> 50 y,> 10 weeks,Running,11.7,5.6,increase
Body Fat,Healthy,< 30 y,> 10 weeks,Cycling,-2.7,0.6,decrease
Body Mass,Healthy,< 30 y,> 10 weeks,Cycling,-1.5,-0.1,decrease
Fasting Glucose,Healthy,< 30 y,> 10 weeks,Cycling,-0.2,-0.1,decrease
Fasting Insulin,Healthy,< 30 y,> 10 weeks,Cycling,-6,-1,decrease
HOMA-IR,Healthy,< 30 y,> 10 weeks,Cycling,-1.2,-0.3,decrease
VO2max,Healthy,< 30 y,> 10 weeks,Cycling,7.6,6,increase
Diastolic Blood Pressure,Healthy,30 - 50 y,> 10 weeks,Running,-2,-1,decrease
Systolic Blood Pressure,Healthy,30 - 50 y,> 10 weeks,Running,1,4,decrease
BMI,Overweight/obese,30 - 50 y,< 5 weeks,Running,-0.1,-0.3,decrease
Body Fat,Overweight/obese,30 - 50 y,< 5 weeks,Running,0.4,-0.1,decrease
Body Mass,Overweight/obese,30 - 50 y,< 5 weeks,Running,-0.3,-1,decrease
Fasting Glucose,Overweight/obese,30 - 50 y,< 5 weeks,Running,-3,-21.4,decrease
Fasting Insulin,Overweight/obese,30 - 50 y,< 5 weeks,Running,0.5,-7.5,decrease
HDL,Overweight/obese,30 - 50 y,< 5 weeks,Running,3.4,-1.4,increase
HOMA-IR,Overweight/obese,30 - 50 y,< 5 weeks,Running,0.02,-3.3,decrease
LDL,Overweight/obese,30 - 50 y,< 5 weeks,Running,-10.7,-0.5,decrease
Total Cholesterol,Overweight/obese,30 - 50 y,< 5 weeks,Running,-3,-2.4,decrease
Triglycerides,Overweight/obese,30 - 50 y,< 5 weeks,Running,22.1,-2.6,decrease
VO2max,Overweight/obese,30 - 50 y,< 5 weeks,Running,-0.2,0.1,increase
VO2max,Cardiac Rehabilitation,> 50 y,> 10 weeks,Running,6,1.9,increase
Body Mass,Overweight/obese,< 30 y,> 10 weeks,Cycling,-0.4,-1.9,decrease
Fasting Glucose,Overweight/obese,< 30 y,> 10 weeks,Cycling,-3.3,-4.1,decrease
Fasting Insulin,Overweight/obese,< 30 y,> 10 weeks,Cycling,-0.9,-2,decrease
HDL,Overweight/obese,< 30 y,> 10 weeks,Cycling,-3.9,-1,increase
LDL,Overweight/obese,< 30 y,> 10 weeks,Cycling,-7.2,-9.4,decrease
Total Cholesterol,Overweight/obese,< 30 y,> 10 weeks,Cycling,-7.6,-7.9,decrease
Triglycerides,Overweight/obese,< 30 y,> 10 weeks,Cycling,4,-5.6,decrease
