endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
BMI,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-0.5,-0.4
Body Fat,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-0.5,-0.3
Body Mass,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-1.3,-0.9
Diastolic Blood Pressure,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-5,-5
Fasting Glucose,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-0.6,0.7
HbA1c,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-0.11,-0.12
HDL,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-2.9,-3.6
LDL,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-9.6,-4.9
Systolic Blood Pressure,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-10,-10.5
Total Cholesterol,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,-2.8,-11.1
Triglycerides,Healthy,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,30.6,-71.1
BMI,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-0.26,-0.35
Body Fat,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-0.88,-1.28
Body Mass,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-0.82,-1.09
Diastolic Blood Pressure,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,1.6,-4.6
HDL,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-1.4,-2
HOMA-IR,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0.16,-0.27
LDL,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-4.78,-7.8
Systolic Blood Pressure,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-0.3,-4.6
Total Cholesterol,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-9.2,-12.9
Triglycerides,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,-15.3,-15.7
VO2max,Overweight/obese,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0.84,3.4
BMI,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-1,0
Body Fat,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-2,-2
Body Mass,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-1,-2
Fasting Glucose,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,0.4,0.4
Fasting Insulin,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-1.7,-1.7
HOMA-IR,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,-0.2,-0.1
VO2max,Healthy,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,5.19,6.88
Body Mass,Healthy,< 30 y,8,5 - 10 weeks,0.25,< 0.5,Cycling,-2.7,0.3
VO2max,Healthy,< 30 y,8,5 - 10 weeks,0.25,< 0.5,Cycling,5.9,2.7
Body Mass,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,-0.2,-0.7
Body Mass,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.3,-0.7
BMI,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.1,-0.1
Body Fat,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,1.6,-0.7
Body Mass,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.5,-0.5
Fasting Glucose,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,-0.2,0
