endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-0.6,-0.9
Body Mass,Overweight/obese,30 - 50 y,12,> 10 weeks,0.36,< 0.5,Cycling,-1.2,-1.3
BMI,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,0
Body Fat,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1,-0.8
Fasting Glucose,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.1,-0.1
Fasting Insulin,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.4,0.2
HbA1c,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.3,-3.1
HDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1
LDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.6,-0.2
Total Cholesterol,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.7,-0.3
Triglycerides,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.05,-0.16
VO2max,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,2,1
BMI,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-0.2,-0.3
Body Fat,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-1.2,-0.9
Body Mass,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-0.5,-0.9
C-reactive Protein,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,0.32,-1.15
HDL,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,1.5,-0.7
LDL,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,7,0.8
Total Cholesterol,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-2,2
Triglycerides,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,-7,7
VO2max,Healthy,< 30 y,7,5 - 10 weeks,1,> 0.5,Cycling,2.8,3.5
BMI,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-1.5,-1.7
Body Fat,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-1.9,-1.7
Body Mass,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.9,-4.2
VO2max,Healthy,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,4.1,3.8
VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.8,> 0.5,Cycling,0.28,0.29
Body Fat,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.5,-0.4
Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-1,-1
Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-4,-5
Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.1,-0.4
Fasting Insulin,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-15,-25
HbA1c,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.2,-1.2
HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,0.08,0.08
HOMA-IR,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.3,-0.5
Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-2,-7
Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,-0.13,-0.11
VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.63,> 0.5,Running,3.6,0.8
BMI,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1,0
Body Fat,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1.02,-0.42
Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-3,0
Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-9,-6
Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-0.17,-0.37
HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0,0.03
LDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0.41,0.06
Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-1,-9
Total Cholesterol,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,0.42,0
Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,-0.16,-0.02
VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.69,> 0.5,Running,4.35,0.8
BMI,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.3,-0.1
Body Mass,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.7,-1.4
Fasting Glucose,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,0.1,-0.3
Fasting Insulin,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,-0.6,0.8
HOMA-IR,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,0,0.1
VO2max,Metabolic Syndrome,> 50 y,2,< 5 weeks,0.18,< 0.5,Cycling,1.5,1.5
Body Mass,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,-0.1,-0.8
Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,1,0
Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,-3,-1
VO2max,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.81944444,> 0.5,Running,6,2.7
BMI,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.1
Body Fat,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.5
Body Mass,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.4,-0.6
Fasting Glucose,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.2,-0.2
Fasting Insulin,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0.3,-4.1
HDL,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0,-0.1
HOMA-IR,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,0,-0.1
LDL,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.3,0
Total Cholesterol,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.3,-0.1
Triglycerides,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,-0.07,0.07
VO2max,Healthy,< 30 y,8,5 - 10 weeks,0.345,< 0.5,Running,2.6,1.8
BMI,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,0,0
Body Fat,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.8,-0.3
Body Mass,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.1,0
C-reactive Protein,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,0.5,0.4
Fasting Glucose,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-3,2.4
Fasting Insulin,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-2.2,-2.3
Flow-mediated Dilation,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,3.8,-0.4
HDL,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,1,-0.7
HOMA-IR,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-0.6,-0.5
LDL,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,4.9,2.6
Total Cholesterol,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,5,4.8
Triglycerides,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,-3.2,23.6
VO2max,Overweight/obese,30 - 50 y,8,5 - 10 weeks,0.5,< 0.5,Cycling,4.1,3.1
Body Mass,Healthy,< 30 y,6,5 - 10 weeks,0.7,> 0.5,Cycling,0,0
VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.7,> 0.5,Cycling,6.6,7
BMI,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0,0
Body Mass,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,0.1,0
VO2max,Healthy,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,3.2,6.5
BMI,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.2,-0.2
Body Fat,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-1,-0.9
Body Mass,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.5,-0.4
Fasting Glucose,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-0.1,0.2
Fasting Insulin,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,0.1,0.3
HbA1c,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,-1.8,-2
VO2max,T2D,30 - 50 y,2,< 5 weeks,0.61818182,> 0.5,Cycling,1.3,-0.1
BMI,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0,0
Body Fat,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.1,0.1
Diastolic Blood Pressure,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-3,-1
Fasting Glucose,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.16,-0.34
Fasting Insulin,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.24,0.21
HOMA-IR,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.15,-0.12
Systolic Blood Pressure,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1,0
VO2max,Overweight/obese,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.4,0
BMI,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-0.7,-1.2
Body Mass,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-2.3,-3.6
Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-6,-6
Fasting Glucose,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-0.3,0.4
Fasting Insulin,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,2,1.3
Flow-mediated Dilation,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,10.32,5.81
HDL,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,0.15,0.06
Systolic Blood Pressure,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,-9,-10
Triglycerides,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,0.05,0.2
VO2max,Metabolic Syndrome,> 50 y,16,> 10 weeks,0.43181818,< 0.5,Running,11.7,5.6
Body Fat,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-2.7,0.6
Body Mass,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-1.5,-0.1
Fasting Glucose,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-0.2,-0.1
Fasting Insulin,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-6,-1
HOMA-IR,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,-1.2,-0.3
VO2max,Healthy,< 30 y,15,> 10 weeks,0,< 0.5,Cycling,7.6,6
Diastolic Blood Pressure,Healthy,30 - 50 y,24,> 10 weeks,0.37,< 0.5,Running,-2,-1
Systolic Blood Pressure,Healthy,30 - 50 y,24,> 10 weeks,0.37,< 0.5,Running,1,4
BMI,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.1,-0.3
Body Fat,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.4,-0.1
Body Mass,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.3,-1
Fasting Glucose,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-3,-21.4
Fasting Insulin,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.5,-7.5
HDL,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,3.4,-1.4
HOMA-IR,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,0.02,-3.3
LDL,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-10.7,-0.5
Total Cholesterol,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-3,-2.4
Triglycerides,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,22.1,-2.6
VO2max,Overweight/obese,30 - 50 y,4,< 5 weeks,0.5,< 0.5,Running,-0.2,0.1
VO2max,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.22,< 0.5,Running,6,1.9
Body Mass,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-0.4,-1.9
Fasting Glucose,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.3,-4.1
Fasting Insulin,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-0.9,-2
HDL,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-3.9,-1
LDL,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-7.2,-9.4
Total Cholesterol,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,-7.6,-7.9
Triglycerides,Overweight/obese,< 30 y,12,> 10 weeks,0,< 0.5,Cycling,4,-5.6
